repeat,outer_fold,inner_best_score,inner_best_params,n_candidates
1,1,0.5760660406403941,"{'clf__C': np.float64(0.5982221423148759), 'clf__gamma': np.float64(6.90331310095057e-05), 'oversampling__k_neighbors': 6, 'pca__n_components': np.float64(0.6098564850114984)}",100
1,2,0.5175209095270217,"{'clf__C': np.float64(104658.88611170392), 'clf__gamma': np.float64(1.3979682454881879), 'oversampling__k_neighbors': 7, 'pca__n_components': np.float64(0.9354112481841114)}",100
1,3,0.5420653690221893,"{'clf__C': np.float64(7616.0353983560335), 'clf__gamma': np.float64(0.0002907376964607593), 'oversampling__k_neighbors': 4, 'pca__n_components': np.float64(0.6160737324718201)}",100
1,4,0.5437246610575875,"{'clf__C': np.float64(0.06062800604032432), 'clf__gamma': np.float64(0.027625562252834877), 'oversampling__k_neighbors': 6, 'pca__n_components': np.float64(0.5779408414595069)}",100
1,5,0.5489981581585945,"{'clf__C': np.float64(0.5982221423148759), 'clf__gamma': np.float64(6.90331310095057e-05), 'oversampling__k_neighbors': 6, 'pca__n_components': np.float64(0.6098564850114984)}",100
1,6,0.5562049416386939,"{'clf__C': np.float64(0.03658718924831049), 'clf__gamma': np.float64(0.00029002205354440846), 'oversampling__k_neighbors': 4, 'pca__n_components': np.float64(0.6143736420813825)}",100
1,7,0.5121102434718166,"{'clf__C': np.float64(7616.0353983560335), 'clf__gamma': np.float64(0.0002907376964607593), 'oversampling__k_neighbors': 4, 'pca__n_components': np.float64(0.6160737324718201)}",100
1,8,0.5390495580670474,"{'clf__C': np.float64(2.303163171332281), 'clf__gamma': np.float64(0.001810736890590614), 'oversampling__k_neighbors': 3, 'pca__n_components': np.float64(0.561479599148913)}",100
2,1,0.5402747844827587,"{'clf__C': np.float64(0.03304745172672065), 'clf__gamma': np.float64(0.0005989738984998027), 'oversampling__k_neighbors': 6, 'pca__n_components': np.float64(0.6133020331214138)}",100
2,2,0.5467039884288842,"{'clf__C': np.float64(0.04242785253675632), 'clf__gamma': np.float64(1.5047183038998829e-05), 'oversampling__k_neighbors': 7, 'pca__n_components': np.float64(0.5363928349777389)}",100
2,3,0.55789386388901,"{'clf__C': np.float64(0.03304745172672065), 'clf__gamma': np.float64(0.0005989738984998027), 'oversampling__k_neighbors': 6, 'pca__n_components': np.float64(0.6133020331214138)}",100
2,4,0.5401072205087405,"{'clf__C': np.float64(2.1371407316372983), 'clf__gamma': np.float64(0.19185373703841915), 'oversampling__k_neighbors': 4, 'pca__n_components': np.float64(0.520999548446127)}",100
2,5,0.5405767061554557,"{'clf__C': np.float64(1.5548518637873214), 'clf__gamma': np.float64(0.00031777800773167577), 'oversampling__k_neighbors': 4, 'pca__n_components': np.float64(0.5175334095396051)}",100
2,6,0.5496064290073673,"{'clf__C': np.float64(57411.97509103034), 'clf__gamma': np.float64(1.4551358823192057e-05), 'oversampling__k_neighbors': 4, 'pca__n_components': np.float64(0.6173125377061564)}",100
2,7,0.5496731821352282,"{'clf__C': np.float64(0.6225216726492829), 'clf__gamma': np.float64(0.9666172683719295), 'oversampling__k_neighbors': 3, 'pca__n_components': np.float64(0.7222521718325456)}",100
2,8,0.537710408583635,"{'clf__C': np.float64(0.5982221423148759), 'clf__gamma': np.float64(6.90331310095057e-05), 'oversampling__k_neighbors': 6, 'pca__n_components': np.float64(0.6098564850114984)}",100
3,1,0.5356373152709359,"{'clf__C': np.float64(26.70027900286783), 'clf__gamma': np.float64(0.6599321787188094), 'oversampling__k_neighbors': 3, 'pca__n_components': np.float64(0.5779824440318806)}",100
