repeat,outer_fold,roc_auc,balanced_accuracy,average_precision,f1_score
1,1,0.3827505827505827,0.47459207459207464,0.2831454872969573,0.30303030303030304
1,2,0.5523897058823529,0.5,0.38868056838119863,0.0
1,3,0.49242424242424243,0.42211174242424243,0.40168491315440125,0.35555555555555557
1,4,0.5378787878787878,0.5880681818181819,0.40364515823798547,0.42105263157894735
1,5,0.515625,0.5558712121212122,0.346523257086162,0.417910447761194
1,6,0.5430871212121211,0.4786931818181818,0.3985431968767552,0.3380281690140845
1,7,0.5928030303030303,0.5828598484848485,0.4551003981388815,0.5111111111111111
1,8,0.47821969696969696,0.4772727272727273,0.3788862369228362,0.375
2,1,0.5836829836829837,0.5491841491841492,0.4329528279707113,0.46511627906976744
2,2,0.4710477941176471,0.4439338235294118,0.36623471594254475,0.2857142857142857
2,3,0.5132575757575758,0.5319602272727273,0.3512849829568414,0.410958904109589
2,4,0.5445075757575757,0.5613162878787878,0.3714908614923118,0.4691358024691358
2,5,0.5047348484848484,0.4850852272727273,0.3529160036032044,0.379746835443038
2,6,0.4569128787878788,0.4758522727272727,0.37572380120096605,0.4044943820224719
2,7,0.49289772727272724,0.5,0.3381187423044625,0.0
2,8,0.41098484848484845,0.5,0.2906534408052276,0.0
3,1,0.42237762237762233,0.5074592074592075,0.30681372341180657,0.05714285714285714
3,2,0.43152573529411764,0.41681985294117646,0.3128595112204905,0.32941176470588235
3,3,0.5241477272727272,0.5236742424242424,0.3657679706114715,0.4155844155844156
3,4,0.4758522727272727,0.5108901515151515,0.3300310386617391,0.32786885245901637
3,5,0.3991477272727273,0.46898674242424243,0.2897360997935445,0.38095238095238093
3,6,0.49999999999999994,0.46898674242424243,0.3569191765692556,0.38095238095238093
3,7,0.5795454545454545,0.584280303030303,0.36437346606949317,0.49382716049382713
3,8,0.4209280303030302,0.42542613636363635,0.3009635386051209,0.2608695652173913
4,1,0.5855477855477855,0.5207459207459207,0.3727274003981952,0.3333333333333333
4,2,0.6125919117647058,0.5978860294117647,0.450944439931828,0.5121951219512195
4,3,0.5028409090909091,0.4865056818181818,0.37342623069616154,0.34285714285714286
4,4,0.5142045454545454,0.4928977272727273,0.3566241074746052,0.38461538461538464
4,5,0.546875,0.5168087121212122,0.4331628841293286,0.3888888888888889
4,6,0.5648674242424242,0.5260416666666666,0.3729200604005908,0.3548387096774194
4,7,0.4820075757575757,0.4571496212121212,0.36049365221183877,0.25806451612903225
4,8,0.5137310606060606,0.48153409090909094,0.3588608814913377,0.22641509433962265
5,1,0.5296037296037296,0.47365967365967365,0.36981068960007224,0.358974358974359
5,2,0.4781709558823529,0.4517463235294118,0.3364993249770005,0.2898550724637681
5,3,0.5487689393939394,0.5364583333333333,0.3964268507770823,0.4731182795698925
5,4,0.4119318181818182,0.4943181818181818,0.32842114473224115,0.34782608695652173
5,5,0.4848484848484848,0.5227272727272727,0.3378597551310995,0.43373493975903615
5,6,0.5274621212121212,0.5089962121212122,0.3621723056893422,0.3835616438356164
5,7,0.5108901515151516,0.506155303030303,0.34645020126170356,0.43956043956043955
5,8,0.3418560606060606,0.3858901515151515,0.2764841995428645,0.2597402597402597
